--- Sample Capture ---
sample,value
0,-366
1,272
2,349
3,-223
4,-368
5,263
6,349
7,-248
8,-370
9,266
10,347
11,-225
12,-369
13,276
14,350
15,-225
16,-368
17,246
18,376
19,-262
20,-360
21,238
22,358
23,-262
24,-365
25,236
26,353
27,-264
28,-366
29,247
30,352
31,-230
32,-355
33,240
34,371
35,-261
36,-339
37,243
38,375
39,-259
40,-364
41,277
42,350
43,-253
44,-363
45,249
46,343
47,-259
48,-361
49,249
50,381
51,-261
52,-341
53,243
54,384
55,-260
56,-340
57,242
58,387
59,-261
60,-332
61,243
62,382
63,-260

--- Arduino Results ---
Re,-11448
Im,-8096
Mag,219
Phase,-144
--- End Capture ---
