# Test: Metal Detector Battery Discharge Test
# Date: 2026-01-21 11:51:43
# Threshold: 6.0V
# Pass criteria: > 100 min
#
elapsed_seconds,elapsed_minutes,voltage_V
0.0,0.000,8.8822
1.0,0.017,9.0093
2.0,0.033,8.9148
3.0,0.050,8.9947
4.0,0.067,8.9548
5.0,0.083,9.0020
6.0,0.100,8.9693
7.0,0.117,9.0129
8.0,0.133,8.9620
9.0,0.150,8.9257
10.0,0.167,8.8858
11.0,0.183,8.8749
12.0,0.200,8.9403
13.0,0.217,8.9257
14.0,0.233,8.9221
15.0,0.250,9.0020
16.0,0.267,9.0056
17.0,0.283,8.9947
18.0,0.300,9.0093
19.0,0.317,8.9693
20.0,0.333,8.9657
21.0,0.350,8.9766
22.0,0.367,8.9148
23.0,0.383,8.8858
24.0,0.400,8.8349
25.0,0.417,8.8749
26.0,0.433,8.8349
27.0,0.450,8.9403
28.0,0.467,8.9875
29.0,0.483,9.0020
30.0,0.500,8.9657
31.0,0.517,8.9911
32.0,0.533,8.9693
33.0,0.550,8.9439
34.0,0.567,8.9584
35.0,0.583,8.9838
36.0,0.600,8.9294
37.0,0.617,8.8822
38.0,0.633,8.8458
39.0,0.650,8.9112
40.0,0.667,8.8604
41.0,0.683,8.9366
42.0,0.700,8.9512
43.0,0.717,8.9584
44.0,0.733,8.9657
45.0,0.750,8.9584
46.0,0.767,8.9403
47.0,0.783,8.9766
48.0,0.800,8.8458
49.0,0.817,8.9003
50.0,0.833,8.8604
51.0,0.850,8.9148
52.0,0.867,8.9076
53.0,0.883,8.8204
54.0,0.900,8.9947
55.0,0.917,8.9838
56.0,0.933,8.9693
57.0,0.950,8.9911
58.0,0.967,8.9657
59.0,0.983,8.9620
60.0,1.000,8.8822
61.0,1.017,8.8168
62.0,1.033,8.8168
63.0,1.050,8.9403
64.0,1.067,8.9003
65.0,1.083,8.8204
66.0,1.100,8.8858
67.0,1.117,8.8313
68.0,1.133,8.9657
69.0,1.150,8.9620
70.0,1.167,8.9802
71.0,1.183,8.9294
72.0,1.200,8.9875
73.0,1.217,8.9185
74.0,1.233,8.9620
75.0,1.250,8.8894
76.0,1.267,8.8604
77.0,1.283,8.8894
78.0,1.300,8.9003
79.0,1.317,8.9257
80.0,1.333,8.8604
81.0,1.350,8.9620
82.0,1.367,8.9439
83.0,1.383,8.9148
84.0,1.400,8.9584
85.0,1.417,8.9439
86.0,1.433,8.9475
87.0,1.450,8.9294
88.0,1.467,8.8349
89.0,1.483,8.9294
90.0,1.500,8.8640
91.0,1.517,8.8858
92.0,1.533,8.8386
93.0,1.550,8.9221
94.0,1.567,8.9512
95.0,1.583,8.9439
96.0,1.600,8.9693
97.0,1.617,8.9439
98.0,1.633,8.9657
99.0,1.650,8.9366
100.0,1.667,8.9257
101.0,1.683,8.8676
102.0,1.700,8.9076
103.0,1.717,8.8749
104.0,1.733,8.9039
105.0,1.750,8.7877
106.0,1.767,8.9221
107.0,1.783,8.9475
108.0,1.800,8.9366
109.0,1.817,8.9403
110.0,1.833,8.9439
111.0,1.850,8.9366
112.0,1.867,8.9112
113.0,1.883,8.8749
114.0,1.900,8.8640
115.0,1.917,8.8713
116.0,1.933,8.8349
117.0,1.950,8.8604
118.0,1.967,8.8204
119.0,1.983,8.7768
120.0,2.000,8.9366
121.0,2.017,8.9366
122.0,2.033,8.9257
123.0,2.050,8.9366
124.0,2.067,8.9366
125.0,2.083,8.9257
126.0,2.100,8.7950
127.0,2.117,8.7914
128.0,2.133,8.8604
129.0,2.150,8.8095
130.0,2.167,8.8604
131.0,2.183,8.8749
132.0,2.200,8.7514
133.0,2.217,8.9257
134.0,2.233,8.9257
135.0,2.250,8.8930
136.0,2.267,8.9403
137.0,2.283,8.8967
138.0,2.300,8.9366
139.0,2.317,8.8059
140.0,2.333,8.7514
141.0,2.350,8.7405
142.0,2.367,8.8313
143.0,2.383,8.8567
144.0,2.400,8.8495
145.0,2.417,8.9294
146.0,2.433,8.9112
147.0,2.450,8.9003
148.0,2.467,8.9076
149.0,2.483,8.9039
150.0,2.500,8.9039
151.0,2.517,8.8749
152.0,2.533,8.8604
153.0,2.550,8.7950
154.0,2.567,8.8204
155.0,2.583,8.8567
156.0,2.600,8.8132
157.0,2.617,8.8313
158.0,2.633,8.8894
159.0,2.650,8.9003
160.0,2.667,8.9003
161.0,2.683,8.9185
162.0,2.700,8.9112
163.0,2.717,8.9221
164.0,2.733,8.8313
165.0,2.750,8.8458
166.0,2.767,8.7768
167.0,2.783,8.8349
168.0,2.800,8.8349
169.0,2.817,8.8458
170.0,2.833,8.7805
171.0,2.850,8.9221
172.0,2.867,8.8858
173.0,2.883,8.9003
174.0,2.900,8.9221
175.0,2.917,8.8894
176.0,2.933,8.9039
177.0,2.950,8.8059
178.0,2.967,8.8313
179.0,2.983,8.8349
180.0,3.000,8.7623
181.0,3.017,8.7623
182.0,3.033,8.8422
183.0,3.050,8.7405
184.0,3.067,8.8967
185.0,3.083,8.8858
186.0,3.100,8.8967
187.0,3.117,8.9294
188.0,3.133,8.8967
189.0,3.150,8.8822
190.0,3.167,8.8168
191.0,3.183,8.8422
192.0,3.200,8.8422
193.0,3.217,8.7732
194.0,3.233,8.8386
195.0,3.250,8.8713
196.0,3.267,8.8894
197.0,3.283,8.8676
198.0,3.300,8.8858
199.0,3.317,8.8822
200.0,3.333,8.8967
201.0,3.350,8.9112
202.0,3.367,8.8858
203.0,3.383,8.8168
204.0,3.400,8.7986
205.0,3.417,8.8349
206.0,3.433,8.7187
207.0,3.450,8.8059
208.0,3.467,8.8313
209.0,3.483,8.8422
210.0,3.500,8.8713
211.0,3.517,8.8894
212.0,3.533,8.8785
213.0,3.550,8.8749
214.0,3.567,8.8713
215.0,3.583,8.7659
216.0,3.600,8.7550
217.0,3.617,8.8313
218.0,3.633,8.8277
219.0,3.650,8.8240
220.0,3.667,8.8095
221.0,3.683,8.7224
222.0,3.700,8.8749
223.0,3.717,8.8822
224.0,3.733,8.8894
225.0,3.750,8.8894
226.0,3.767,8.8858
227.0,3.783,8.8676
228.0,3.800,8.8204
229.0,3.817,8.6969
230.0,3.833,8.8095
231.0,3.850,8.8059
232.0,3.867,8.8458
233.0,3.883,8.8059
234.0,3.900,8.8204
235.0,3.917,8.8349
236.0,3.933,8.8967
237.0,3.950,8.8495
238.0,3.967,8.8313
239.0,3.983,8.8458
240.0,4.000,8.8495
241.0,4.017,8.8567
242.0,4.033,8.8204
243.0,4.050,8.7514
244.0,4.067,8.7296
245.0,4.083,8.7369
246.0,4.100,8.8168
247.0,4.117,8.7550
248.0,4.133,8.8567
249.0,4.150,8.8676
250.0,4.167,8.8495
251.0,4.183,8.8822
252.0,4.200,8.8822
253.0,4.217,8.8604
254.0,4.233,8.8277
255.0,4.250,8.7914
256.0,4.267,8.8095
257.0,4.283,8.7151
258.0,4.300,8.8059
259.0,4.317,8.8458
260.0,4.333,8.7950
261.0,4.350,8.8386
262.0,4.367,8.8349
263.0,4.383,8.8640
264.0,4.400,8.8713
265.0,4.417,8.8349
266.0,4.433,8.8713
267.0,4.450,8.7514
268.0,4.467,8.8059
269.0,4.483,8.7950
270.0,4.500,8.7369
271.0,4.517,8.8059
272.0,4.533,8.7151
273.0,4.550,8.8676
274.0,4.567,8.8930
275.0,4.583,8.8313
276.0,4.600,8.8458
277.0,4.617,8.8640
278.0,4.633,8.8422
279.0,4.650,8.8422
280.0,4.667,8.7514
281.0,4.683,8.7078
282.0,4.700,8.7841
283.0,4.717,8.6969
284.0,4.733,8.7696
285.0,4.750,8.7115
286.0,4.767,8.8059
287.0,4.783,8.8168
288.0,4.800,8.8495
289.0,4.817,8.8567
290.0,4.833,8.8567
291.0,4.850,8.8458
292.0,4.867,8.7405
293.0,4.883,8.7151
294.0,4.900,8.7659
295.0,4.917,8.7768
296.0,4.933,8.7877
297.0,4.950,8.7805
298.0,4.967,8.8168
299.0,4.983,8.8204
300.0,5.000,8.8349
301.0,5.017,8.8422
302.0,5.033,8.8458
